project_id,domain,methodology,team_location,vendor_contract_type,planned_budget_lakhs,planned_duration_days,team_size,team_experience_years_avg,tech_complexity,requirements_changes,open_bugs_count,vendor_dependency,stakeholder_count,offshore_ratio,sprint_length_days,story_points_planned,completed_rate,issue_churn_rate,reopens_rate,dependency_count,overdue_tasks_pct,requirements_clarity,risk_register_count,past_similar_success_rate,buffer_days,schedule_slippage_pct,cost_variance_pct,risk,risk_level
P1270,E-commerce,Hybrid,Co-located,T&M,47.71,204,20,3.59,2,16,7,0,9,0.046,0,0,0.995,0.27,0.139,13,0.113,5,3,0.736,8,0.0,-1.68,0,Low
P1571,Retail,Waterfall,Distributed,Fixed Bid,7.4,482,16,3.43,3,10,9,1,17,0.534,0,0,0.836,0.16,0.116,12,0.224,3,2,0.53,7,24.07,25.74,1,High
P1733,Telecom,Agile,Co-located,Managed Services,20.23,139,16,3.24,4,7,11,0,4,0.354,7,191,0.796,0.315,0.12,12,0.036,3,5,0.489,4,18.16,17.5,1,Medium
P1097,Telecom,Agile,Hybrid,T&M,19.16,264,18,5.25,1,10,3,0,5,0.405,14,184,0.924,0.15,0.361,7,0.305,5,2,0.631,14,2.57,2.32,0,Low
P1504,Retail,Waterfall,Hybrid,Fixed Bid,29.3,160,23,7.31,1,5,2,0,6,0.259,0,0,0.851,0.287,0.164,3,0.0,5,3,0.851,7,0.0,2.82,0,Low
P1346,Telecom,Waterfall,Distributed,Fixed Bid,34.66,198,19,2.95,2,4,10,0,19,0.186,0,0,0.986,0.098,0.343,2,0.033,3,3,0.755,16,12.42,5.23,0,Low
P1672,Retail,Agile,Co-located,Fixed Bid,19.4,101,11,4.5,4,20,6,0,17,0.279,14,375,0.925,0.444,0.131,10,0.106,2,6,0.65,19,26.58,20.73,1,High
P1116,Telecom,Hybrid,Co-located,T&M,10.81,398,11,7.49,3,18,7,0,18,0.377,0,0,0.878,0.305,0.237,10,0.141,4,4,0.502,16,0.0,0.81,0,Low
P1493,Telecom,Agile,Distributed,Fixed Bid,49.69,137,14,7.36,3,13,3,0,14,0.305,14,126,0.881,0.284,0.136,10,0.123,3,6,0.726,18,0.86,-3.69,0,Low
P1242,Government,Hybrid,Co-located,Fixed Bid,40.72,497,20,1.3,1,17,5,1,14,0.286,0,0,1.064,0.342,0.174,5,0.042,4,1,0.577,12,14.99,10.59,0,Medium
P1105,Fintech,Agile,Co-located,T&M,46.96,335,10,4.42,5,16,12,0,10,0.353,7,352,0.776,0.318,0.325,8,0.312,1,4,0.844,7,28.1,13.23,1,High
P1762,Government,Agile,Co-located,Fixed Bid,40.4,212,13,7.81,1,7,1,0,8,0.569,7,337,0.923,0.117,0.057,4,0.013,5,5,0.869,12,0.0,-0.55,0,Low
P1825,E-commerce,Hybrid,Distributed,Fixed Bid,62.1,366,17,4.11,2,9,9,0,13,0.167,0,0,0.809,0.288,0.054,0,0.217,3,1,0.404,1,25.87,13.0,0,Medium
P1595,E-commerce,Agile,Hybrid,T&M,35.21,227,17,4.5,1,11,3,0,17,0.605,7,311,0.802,0.303,0.256,6,0.135,5,1,0.84,16,4.73,-7.35,0,Low
P1604,E-commerce,Agile,Co-located,T&M,14.35,533,16,6.37,2,14,3,0,18,0.548,14,246,0.755,0.118,0.15,15,0.205,5,2,0.939,5,0.0,1.06,0,Low
P1632,E-commerce,Agile,Co-located,Managed Services,36.39,474,14,6.27,4,22,12,0,5,0.341,7,145,0.828,0.5,0.246,6,0.138,3,4,0.603,17,17.4,20.92,1,Medium
P1567,Government,Agile,Co-located,T&M,23.83,478,9,4.93,1,14,4,1,4,0.683,7,327,0.756,0.228,0.147,14,0.086,5,3,0.689,7,4.12,3.44,0,Low
P1257,Fintech,Waterfall,Hybrid,Fixed Bid,23.83,469,18,6.1,1,6,4,1,16,0.522,0,0,0.92,0.352,0.268,12,0.0,5,0,0.991,12,5.42,15.31,0,Low
P1411,Healthcare,Hybrid,Distributed,Fixed Bid,65.7,247,11,3.81,5,15,24,0,15,0.624,0,0,0.959,0.297,0.12,12,0.032,2,5,0.311,6,32.71,14.41,1,High
